CM_Gain_vs_Frequency X,CM_Gain_vs_Frequency Y
1000,-51.75962121698181
1059.253725177289,-51.75962121909643
1122.018454301964,-51.75962122151151
1188.502227437019,-51.75962122423917
1258.925411794168,-51.7596212272379
1333.521432163324,-51.75962123062283
1412.537544622755,-51.75962123446126
1496.235656094434,-51.75962123874361
1584.893192461114,-51.75962124357673
1678.804018122561,-51.75962124897177
1778.279410038923,-51.75962125501624
1883.649089489801,-51.75962126177443
1995.26231496888,-51.75962126938298
2113.489039836647,-51.75962127794936
2238.72113856834,-51.75962128750201
2371.373705661656,-51.75962129825444
2511.886431509581,-51.75962131035611
2660.72505979881,-51.75962132389104
2818.382931264455,-51.75962133909473
2985.382618917961,-51.75962135610965
3162.27766016838,-51.75962137525757
3349.654391578278,-51.75962139668735
3548.133892335756,-51.75962142077999
3758.374042884443,-51.75962144773432
3981.071705534974,-51.75962147807202
4216.965034285824,-51.75962151205152
4466.835921509632,-51.75962155023865
4731.512589614807,-51.7596215930525
5011.872336272725,-51.75962164106722
5308.844442309886,-51.75962169495652
5623.413251903494,-51.75962175543497
5956.621435290108,-51.75962182328639
6309.573444801936,-51.75962189938907
6683.43917568615,-51.75962198486094
7079.457843841383,-51.75962208066059
7498.942093324562,-51.75962218817762
7943.282347242819,-51.75962230885635
8413.951416451955,-51.75962244422996
8912.509381337461,-51.75962259612284
9440.60876285924,-51.75962276654364
10000.00000000001,-51.75962295776127
10592.53725177289,-51.75962317229868
11220.18454301964,-51.75962341302839
11885.02227437019,-51.75962368313763
12589.25411794168,-51.75962398620581
13335.21432163325,-51.75962432623788
14125.37544622755,-51.75962470777171
14962.35656094434,-51.75962513584005
15848.93192461114,-51.75962561616173
16788.04018122561,-51.75962615508952
17782.79410038924,-51.75962675976951
18836.49089489802,-51.75962743825328
19952.62314968881,-51.75962819949437
21134.89039836648,-51.75962905363111
22387.21138568341,-51.75963001197908
23713.73705661657,-51.75963108726413
25118.86431509582,-51.75963229376674
26607.25059798811,-51.75963364746529
28183.82931264456,-51.7596351663426
29853.82618917962,-51.75963687054239
31622.77660168382,-51.75963878268526
33496.54391578279,-51.75964092813751
35481.33892335757,-51.75964333536275
37583.74042884444,-51.75964603630792
39810.71705534976,-51.75964906680618
42169.65034285826,-51.75965246705617
44668.35921509634,-51.75965628218257
47315.12589614809,-51.75966056278506
50118.72336272727,-51.75966536568427
53088.44442309887,-51.75967075457264
56234.13251903495,-51.75967680094892
59566.21435290109,-51.75968358502821
63095.73444801938,-51.75969119679777
66834.39175686151,-51.75969973723482
70794.57843841385,-51.759709319624
74989.42093324565,-51.75972007107013
79432.82347242822,-51.75973213416335
84139.51416451958,-51.75974566888996
89125.09381337464,-51.75976085477075
94406.08762859243,-51.7597778931664
100000.0000000001,-51.75979701000161
105925.372517729,-51.75981845874358
112201.8454301965,-51.75984252375939
118850.222743702,-51.75986952404283
125892.5411794169,-51.7598998174623
133352.1432163326,-51.75993380549323
141253.7544622756,-51.75997193847681
149623.5656094435,-51.76001472162373
158489.3192461116,-51.7600627215997
167880.4018122563,-51.76011657405847
177827.9410038925,-51.76017699197361
188364.9089489803,-51.76024477501883
199526.2314968882,-51.76032082005926
211348.903983665,-51.76040613295471
223872.1138568343,-51.76050184169359
237137.3705661659,-51.76060921114971
251188.6431509584,-51.76072965962351
266072.5059798813,-51.76086477728915
281838.2931264458,-51.76101634687989
298538.2618917964,-51.76118636679618
316227.7660168384,-51.76137707695353
334965.4391578281,-51.76159098762315
354813.389233576,-51.76183091169349
375837.4042884447,-51.76210000059854
398107.1705534979,-51.76240178446514
421696.5034285829,-51.76274021677777
446683.5921509638,-51.76311972416158
473151.2589614813,-51.76354526167777
501187.2336272731,-51.76402237436479
530884.4442309892,-51.76455726538452
562341.3251903499,-51.76515687158522
595662.1435290114,-51.76582894708206
630957.3444801943,-51.76658215544565
668343.9175686156,-51.76742617126063
707945.784384139,-51.76837179165233
749894.2093324569,-51.76943105839748
794328.2347242826,-51.77061739115621
841395.1416451962,-51.77194573220594
891250.9381337467,-51.77343270289217
944060.8762859247,-51.77509677177796
1000000.000000001,-51.77695843396865
1059253.72517729,-51.77904040077802
1122018.454301965,-51.78136779805597
1188502.22743702,-51.78396837067945
1258925.411794169,-51.78687268963788
1333521.432163326,-51.79011435646093
1412537.544622756,-51.79373019809938
1496235.656094436,-51.79776044277397
1584893.192461116,-51.80224886450646
1678804.018122563,-51.80724288013468
1778279.410038925,-51.81279357822392
1883649.089489803,-51.81895565355077
1995262.314968882,-51.82578721412479
2113489.03983665,-51.83334941946523
2238721.138568343,-51.84170589941226
2371373.705661659,-51.85092189120756
2511886.431509584,-51.86106301989377
2660725.059798813,-51.87219363241926
2818382.931264458,-51.8843745799355
2985382.618917964,-51.89766032610366
3162277.660168384,-51.91209524256112
3349654.391578281,-51.92770893764632
3548133.892335759,-51.94451045319109
3758374.042884447,-51.9624811599146
3981071.705534978,-51.98156618895752
4216965.034285828,-52.00166426141062
4466835.921509637,-52.02261582648991
4731512.589614811,-52.04418950142527
5011872.33627273,-52.06606693215355
5308844.442309891,-52.08782637401734
5623413.251903499,-52.10892553453434
5956621.435290113,-52.12868453026144
6309573.444801942,-52.14627018197432
6683439.175686155,-52.16068328709726
7079457.843841389,-52.17075092371318
7498942.093324569,-52.17512618651547
7943282.347242827,-52.17229793008477
8413951.416451963,-52.16061297091221
8912509.381337468,-52.13831264033661
9440608.762859248,-52.10358447708039
10000000.00000001,-52.05462817079201
10592537.2517729,-51.98973272437704
11220184.54301965,-51.90735947807467
11885022.2743702,-51.80622358771409
12589254.11794169,-51.68536531883811
13335214.32163326,-51.54420258953625
14125375.44622757,-51.38255780388263
14962356.56094436,-51.20065501650809
15848931.92461116,-50.99908731204033
16788040.18122563,-50.77875816815923
17782794.10038926,-50.54080368500784
18836490.89489803,-50.28650433367336
19952623.14968883,-50.01719511694062
21134890.3983665,-49.73418194437603
22387211.38568343,-49.43867005316291
23713737.05661659,-49.13170798349009
25118864.31509584,-48.81414839407932
26607250.59798814,-48.48662517324199
28183829.31264459,-48.14954498949729
29853826.18917965,-47.8030906285957
31622776.60168385,-47.44723309927362
33496543.91578282,-47.08174944826684
35481338.92335761,-46.70624339938936
37583740.42884448,-46.32016623392896
39810717.0553498,-45.92283569411915
42169650.3428583,-45.51345106992217
44668359.21509639,-45.09110298602623
47315125.89614813,-44.65477671190636
50118723.36272731,-44.20334804714418
53088444.42309893,-43.73557096188271
56234132.51903501,-43.25005617229561
59566214.35290115,-42.74523967460175
63095734.44801944,-42.21933991382876
66834391.75686158,-41.67030167932588
70794578.43841392,-41.09572393206886
74989420.93324572,-40.49276748058823
79432823.47242829,-39.85803658406185
84139514.16451965,-39.18742595158646
89125093.81337471,-38.47592091110862
94406087.62859251,-37.7173333340685
100000000.0000002,-36.90394883144504
105925372.5177291,-36.02605188033097
112201845.4301965,-35.07128718344469
118850222.7437021,-34.02381798436556
125892541.1794169,-32.86329334777704
133352143.2163326,-31.56387210375229
141253754.4622757,-30.09445822729663
149623565.6094436,-28.42466531615062
158489319.2461116,-26.55318931045495
167880401.8122563,-24.6125134349289
177827941.0038926,-23.12921971014442
188364908.9489804,-23.0195882585603
199526231.4968883,-24.37449449354474
211348903.983665,-26.2971586716586
223872113.8568344,-28.18985578913664
237137370.566166,-29.88672072614307
251188643.1509585,-31.38021734018135
266072505.9798815,-32.69936367624411
281838293.1264459,-33.87568091688834
298538261.8917965,-34.93570136513263
316227766.0168386,-35.90036650637758
334965439.1578283,-36.7859425720983
354813389.2335762,-37.60506688765049
375837404.2884449,-38.36761547126419
398107170.5534981,-39.08136478336026
421696503.4285831,-39.75248457427679
446683592.1509641,-40.38590440960495
473151258.9614815,-40.98558864539548
501187233.6272734,-41.5547456415466
530884444.2309895,-42.0959896879436
562341325.1903503,-42.61146871215538
595662143.5290117,-43.10296696748031
630957344.4801946,-43.57198914644752
668343917.568616,-44.01983039374902
707945784.3841394,-44.44763526613946
749894209.3324574,-44.8564476442354
794328234.7242832,-45.24725283718242
841395141.6451969,-45.62101256892655
891250938.1337475,-45.97869315262508
944060876.2859254,-46.32128692143381
1000000000.000002,-46.64982687181056
1059253725.177291,-46.96539447502155
1122018454.301966,-47.26912070853756
1188502227.437021,-47.56218053324608
1258925411.79417,-47.84578127254378
1333521432.163327,-48.12114560912738
1412537544.622757,-48.38949017578221
1496235656.094437,-48.65200094842992
1584893192.461117,-48.90980682637019
1678804018.122564,-49.16395288466489
1778279410.038927,-49.41537479350003
1883649089.489805,-49.66487581518692
1995262314.968884,-49.91310761721687
2113489039.836652,-50.16055589440842
2238721138.568345,-50.40753149640746
2371373705.661661,-50.65416743405954
2511886431.509586,-50.9004218152543
2660725059.798816,-51.14608646071949
2818382931.26446,-51.39080069070299
2985382618.917966,-51.63406956583525
3162277660.168386,-51.87528571445404
3349654391.578284,-52.11375378345704
3548133892.335763,-52.34871650558956
3758374042.88445,-52.57938137631343
3981071705.534981,-52.80494697120815
4216965034.285832,-53.02462800442419
4466835921.509642,-53.23767832568198
4731512589.614816,-53.44341117445311
5011872336.272735,-53.64121615227624
5308844442.309896,-53.83057253383019
5623413251.903504,-54.01105870887591
5956621435.290119,-54.18235772286135
6309573444.801948,-54.34425905443271
6683439175.686162,-54.49665692301004
7079457843.841396,-54.63954554913553
7498942093.324576,-54.77301188656877
7943282347.242834,-54.89722640323653
8413951416.451971,-55.01243250703006
8912509381.337477,-55.11893519468532
9440608762.859257,-55.21708945332492
10000000000,-55.30728887254762
